name,category,type,explicit,count
holding,action,contact_self,false,1426857
sitting,action,pose,false,971965
standing,action,pose,false,937808
lying,action,pose,false,460635
hand_up,action,gesture,false,367117
looking_back,action,gaze,false,287992
looking_at_another,action,gaze,false,279252
holding_weapon,action,contact_self,false,274797
spread_legs,action,pose,true,260243
arm_up,action,gesture,false,216915
clothes_lift,action,gesture,false,214025
arms_up,action,gesture,false,194174
hands_up,action,gesture,false,188376
looking_to_the_side,action,gaze,false,186722
hand_on_own_hip,action,gesture,false,159650
head_tilt,action,gesture,false,142031
hug,action,contact_others,false,124763
kneeling,action,pose,false,121797
leaning_forward,action,pose,false,119783
highleg,action,pose,true,118654
holding_sword,action,contact_self,false,113801
holding_hands,action,contact_others,false,105524
looking_down,action,gaze,false,99876
holding_food,action,contact_self,false,99275
arm_support,action,gesture,false,96563
arms_behind_back,action,gesture,false,89792
groping,action,contact_others,true,89772
squatting,action,pose,false,89395
eating,action,other,false,88193
crossed_arms,action,gesture,false,88009
wariza,action,pose,false,85743
standing_on_one_leg,action,pose,false,85449
shirt_lift,action,gesture,false,84124
oral,action,contact_others,true,83829
clothes_pull,action,gesture,false,83640
leg_up,action,pose,false,83428
mouth_hold,action,contact_self,false,81953
own_hands_together,action,gesture,false,81753
bound,action,contact_others,true,81105
crossed_legs,action,pose,false,79062
sleeping,action,pose,false,75930
skirt_lift,action,gesture,false,75314
looking_up,action,gaze,false,73903
straddling,action,contact_others,true,71475
holding_cup,action,contact_self,false,70987
grabbing_another's_breast,action,contact_others,true,69571
fellatio,action,contact_others,true,69500
outstretched_arms,action,gesture,false,69379
holding_gun,action,contact_self,false,69208
sex_from_behind,action,contact_others,true,68608
lifting_own_clothes,action,gesture,false,68080
pantyshot,action,other,true,67969
pointing,action,gesture,false,67547
outstretched_arm,action,gesture,false,67525
girl_on_top,action,pose,true,66607
hand_on_own_chest,action,gesture,false,64130
kiss,action,contact_others,false,63644
bent_over,action,pose,false,63210
looking_away,action,gaze,false,62883
clenched_hand,action,gesture,false,61870
all_fours,action,pose,true,60125
group_sex,action,contact_others,true,59858
undressing,action,gesture,true,58392
knees_up,action,pose,false,57568
anal,action,contact_others,true,53763
holding_phone,action,contact_self,false,53437
arms_behind_head,action,gesture,false,52864
index_finger_raised,action,gesture,false,51981
breast_press,action,contact_others,true,51896
ejaculation,action,other,true,51892
interlocked_fingers,action,gesture,false,49614
hand_on_own_face,action,gesture,false,49423
panty_pull,action,gesture,true,49345
holding_book,action,contact_self,false,47176
covering_privates,action,gesture,true,47138
carrying,action,contact_self,false,47090
restrained,action,contact_others,true,44893
arm_at_side,action,gesture,false,44590
floating,action,pose,false,43316
licking,action,contact_others,true,43026
paizuri,action,contact_others,true,42828
clenched_hands,action,gesture,false,42689
knee_up,action,pose,false,42247
