name,category,type,explicit,count
blue_eyes,appearance,face,FALSE,1818892
red_eyes,appearance,face,FALSE,1317233
green_eyes,appearance,face,FALSE,876686
brown_eyes,appearance,face,FALSE,866925
purple_eyes,appearance,face,FALSE,838862
yellow_eyes,appearance,face,FALSE,719826
teeth,appearance,face,FALSE,516785
tongue,appearance,face,FALSE,393003
fang,appearance,face,FALSE,333198
pink_eyes,appearance,face,FALSE,291074
mole,appearance,face,FALSE,264452
black_eyes,appearance,face,FALSE,239649
grey_eyes,appearance,face,FALSE,190737
v-shaped_eyebrows,appearance,face,FALSE,184120
aqua_eyes,appearance,face,FALSE,183124
orange_eyes,appearance,face,FALSE,179278
eyelashes,appearance,face,FALSE,179275
symbol-shaped_pupils,appearance,face,FALSE,171147
mole_under_eye,appearance,face,FALSE,164851
lips,appearance,face,FALSE,141922
makeup,appearance,face,FALSE,131843
facial_hair,appearance,face,FALSE,128428
heterochromia,appearance,face,FALSE,119185
fangs,appearance,face,FALSE,109136
thick_eyebrows,appearance,face,FALSE,104633
facial_mark,appearance,face,FALSE,102697
heart-shaped_pupils,appearance,face,FALSE,90211
bright_pupils,appearance,face,FALSE,87983
sharp_teeth,appearance,face,FALSE,86083
eyes_visible_through_hair,appearance,face,FALSE,76576
slit_pupils,appearance,face,FALSE,68844
white_pupils,appearance,face,FALSE,68732
skin_fang,appearance,face,FALSE,63018
lipstick,appearance,face,FALSE,58182
scar_on_face,appearance,face,FALSE,57356
mole_under_mouth,appearance,face,FALSE,53607
dot_nose,appearance,face,FALSE,52583
beard,appearance,face,FALSE,52014
eyeshadow,appearance,face,FALSE,50037
colored_sclera,appearance,face,FALSE,48146
third_eye,appearance,face,FALSE,47600
glowing_eyes,appearance,face,FALSE,47256
forehead,appearance,face,FALSE,46742
eyebrows,appearance,face,FALSE,43138
tsurime,appearance,face,FALSE,42675
freckles,appearance,face,FALSE,42492
blood_on_face,appearance,face,FALSE,38457
colored_eyelashes,appearance,face,FALSE,34897
stubble,appearance,face,FALSE,32509
multicolored_eyes,appearance,face,FALSE,32458
sideburns,appearance,face,FALSE,31490
mustache,appearance,face,FALSE,30369
pink_lips,appearance,face,FALSE,30183
short_eyebrows,appearance,face,FALSE,28919
scar_across_eye,appearance,face,FALSE,28267
eyeliner,appearance,face,FALSE,28165
bags_under_eyes,appearance,face,FALSE,28154
forehead_mark,appearance,face,FALSE,26925
bandaid_on_face,appearance,face,FALSE,26469
red_lips,appearance,face,FALSE,26048
bespectacled,appearance,face,FALSE,25051
goatee,appearance,face,FALSE,24910
black_sclera,appearance,face,FALSE,24506
no_nose,appearance,face,FALSE,24425
nose,appearance,face,FALSE,23018
ringed_eyes,appearance,face,FALSE,21488
star-shaped_pupils,appearance,face,FALSE,21425
symbol_in_eye,appearance,face,FALSE,20367
covered_eyes,appearance,face,FALSE,18570
round_teeth,appearance,face,FALSE,18476
eyeball,appearance,face,FALSE,17880
white_eyes,appearance,face,FALSE,17011
triangle_mouth,appearance,face,FALSE,16899
scar_on_cheek,appearance,face,FALSE,16432
chestnut_mouth,appearance,face,FALSE,16311
animal_nose,appearance,face,FALSE,15780
alternate_eye_color,appearance,face,FALSE,15547
whisker_markings,appearance,face,FALSE,15200
facepaint,appearance,face,FALSE,14679
no_pupils,appearance,face,FALSE,14412
facial_tattoo,appearance,face,FALSE,14271
no_mouth,appearance,face,FALSE,14192
red_eyeshadow,appearance,face,FALSE,13983
constricted_pupils,appearance,face,FALSE,13650
long_sideburns,appearance,face,FALSE,12690
one-eyed,appearance,face,FALSE,12529
glowing_eye,appearance,face,FALSE,12408
sparkling_eyes,appearance,face,FALSE,12258
blank_eyes,appearance,face,FALSE,12213
sanpaku,appearance,face,FALSE,11908
lower_teeth_only,appearance,face,FALSE,11535
red_pupils,appearance,face,FALSE,11331
cross-shaped_pupils,appearance,face,FALSE,11290
yellow_sclera,appearance,face,FALSE,10658
solid_oval_eyes,appearance,face,FALSE,10507
extra_eyes,appearance,face,FALSE,9904
mismatched_pupils,appearance,face,FALSE,9801
star_in_eye,appearance,face,FALSE,9734
red_eyeliner,appearance,face,FALSE,9711
no_eyes,appearance,face,FALSE,9583
bandaid_on_nose,appearance,face,FALSE,9286
torogao,appearance,face,FALSE,9235
two-tone_eyes,appearance,face,FALSE,9042
whiskers,appearance,face,FALSE,8801
solid_circle_eyes,appearance,face,FALSE,8667
purple_lips,appearance,face,FALSE,8518
flower-shaped_pupils,appearance,face,FALSE,8190
long_eyelashes,appearance,face,FALSE,8079
gradient_eyes,appearance,face,FALSE,8068
heart_in_eye,appearance,face,FALSE,7685
blood_from_mouth,appearance,face,FALSE,7674
snout,appearance,face,FALSE,7560
maebari,appearance,face,FALSE,7312
multiple_moles,appearance,face,FALSE,7049
beard_stubble,appearance,face,FALSE,7026
pink_pupils,appearance,face,FALSE,7013
uneven_eyes,appearance,face,FALSE,6934
long_tongue,appearance,face,FALSE,6700
forked_eyebrows,appearance,face,FALSE,6679
red_sclera,appearance,face,FALSE,6194
dot_mouth,appearance,face,FALSE,6019
penis_on_face,appearance,face,TRUE,5967
scar_on_nose,appearance,face,FALSE,5913
beak,appearance,face,FALSE,5734
colored_tongue,appearance,face,FALSE,5697
diamond-shaped_pupils,appearance,face,FALSE,5630
yellow_pupils,appearance,face,FALSE,5559
black_lips,appearance,face,FALSE,5543
bandage_over_one_eye,appearance,face,FALSE,5438
horizontal_pupils,appearance,face,FALSE,5027
cross_scar,appearance,face,FALSE,5006
tusks,appearance,face,FALSE,4940
covered_face,appearance,face,FALSE,4576
tongue_piercing,appearance,face,FALSE,4575
lipstick_mark,appearance,face,FALSE,4542
mascara,appearance,face,FALSE,4504
blue_lips,appearance,face,FALSE,4473
x-shaped_pupils,appearance,face,FALSE,4432
scar_on_forehead,appearance,face,FALSE,4377
blue_pupils,appearance,face,FALSE,4365
cosmetics,appearance,face,FALSE,4301
skin_fangs,appearance,face,FALSE,4240
dirty_face,appearance,face,FALSE,4158
heart_in_mouth,appearance,face,FALSE,4075
full_beard,appearance,face,FALSE,3741
nose_piercing,appearance,face,FALSE,3734
teardrop_facial_mark,appearance,face,FALSE,3660
aegyo_sal,appearance,face,FALSE,3602
eyebrow_cut,appearance,face,FALSE,3569
pink_eyeshadow,appearance,face,FALSE,3549
sideburns_stubble,appearance,face,FALSE,3502
flaming_eye,appearance,face,FALSE,3469
bandage_on_face,appearance,face,FALSE,3420
blue_eyeshadow,appearance,face,FALSE,3406
nose_bubble,appearance,face,FALSE,3374
green_lips,appearance,face,FALSE,3316
shading_eyes,appearance,face,FALSE,3271
goatee_stubble,appearance,face,FALSE,3265
eyebrow_piercing,appearance,face,FALSE,3205
hickey,appearance,face,FALSE,3205
sticker_on_face,appearance,face,FALSE,3190
lip_piercing,appearance,face,FALSE,3181
hikimayu,appearance,face,FALSE,3137
mole_under_each_eye,appearance,face,FALSE,3136
stitched_face,appearance,face,FALSE,3132
thick_eyelashes,appearance,face,FALSE,3128
blood_from_eyes,appearance,face,FALSE,3097
purple_eyeshadow,appearance,face,FALSE,3095
mustache_stubble,appearance,face,FALSE,3008
buck_teeth,appearance,face,FALSE,2961
curly_eyebrows,appearance,face,FALSE,2911
body_freckles,appearance,face,FALSE,2873
star_facial_mark,appearance,face,FALSE,2828
long_beard,appearance,face,FALSE,2784
forked_tongue,appearance,face,FALSE,2769
fangs_out,appearance,face,FALSE,2754
blue_tongue,appearance,face,FALSE,2740
thick_mustache,appearance,face,FALSE,2720
fake_facial_hair,appearance,face,FALSE,2695
drop-shaped_pupils,appearance,face,FALSE,2655
bruise_on_face,appearance,face,FALSE,2622
nostrils,appearance,face,FALSE,2598
multiple_piercings,appearance,face,FALSE,2578
blue_sclera,appearance,face,FALSE,2574
no_sclera,appearance,face,FALSE,2549
white_eyelashes,appearance,face,FALSE,2535
pointy_nose,appearance,face,FALSE,2520
heart_facial_mark,appearance,face,FALSE,2421
thick_beard,appearance,face,FALSE,2396
rectangular_mouth,appearance,face,FALSE,2384
industrial_piercing,appearance,face,FALSE,2365
solid_eyes,appearance,face,FALSE,2356
big_nose,appearance,face,FALSE,2333
power_symbol-shaped_pupils,appearance,face,FALSE,2325
fake_mustache,appearance,face,FALSE,2317
mole_on_cheek,appearance,face,FALSE,2297
thick_lips,appearance,face,FALSE,2234
x_mouth,appearance,face,FALSE,2215
crescent_facial_mark,appearance,face,FALSE,2203
rabbit-shaped_pupils,appearance,face,FALSE,2183
no_eyebrows,appearance,face,FALSE,2044
ribbon_in_mouth,appearance,face,FALSE,2034
extra_mouth,appearance,face,FALSE,2006
artificial_eye,appearance,face,FALSE,2006
cephalopod_eyes,appearance,face,FALSE,1964
cheek_bulge,appearance,face,FALSE,1948
button_eyes,appearance,face,FALSE,1865
heart_maebari,appearance,face,FALSE,1862
scar_on_mouth,appearance,face,FALSE,1852
v-shaped_eyes,appearance,face,FALSE,1842
huge_eyebrows,appearance,face,FALSE,1836
partially_shaded_face,appearance,face,FALSE,1835
mole_above_mouth,appearance,face,FALSE,1775
uvula,appearance,face,FALSE,1771
mechanical_eye,appearance,face,FALSE,1759
puffy_cheeks,appearance,face,FALSE,1742
runny_makeup,appearance,face,FALSE,1727
jewel_under_eye,appearance,face,FALSE,1688
green_sclera,appearance,face,FALSE,1623
covering_one_eye,appearance,face,FALSE,1599
hat_over_one_eye,appearance,face,FALSE,1583
mismatched_eyebrows,appearance,face,FALSE,1532
purple_pupils,appearance,face,FALSE,1513
flower_in_eye,Appearance,face,FALSE,1494
bandaid_on_forehead,Appearance,face,FALSE,1492
flower_over_eye,Appearance,face,FALSE,1478
purple_tongue,Appearance,face,FALSE,1448
forehead_tattoo,Appearance,face,FALSE,1415
black_eyeshadow,Appearance,face,FALSE,1405
dashed_eyes,Appearance,face,FALSE,1404
stitched_mouth,Appearance,face,FALSE,1403
long_nose,Appearance,face,FALSE,1400
paint_splatter_on_face,Appearance,face,FALSE,1391
solid_circle_pupils,Appearance,face,FALSE,1391
wavy_eyes,Appearance,face,FALSE,1389
cheekbones,Appearance,face,FALSE,1374
mismatched_sclera,Appearance,face,FALSE,1328
green_pupils,Appearance,face,FALSE,1309
hidden_eyes,Appearance,face,FALSE,1292
sparse_stubble,Appearance,face,FALSE,1288
red_nose,Appearance,face,FALSE,1272
triangle_facial_mark,Appearance,face,FALSE,1261
gauze_on_cheek,Appearance,face,FALSE,1242
black_eyeliner,Appearance,face,FALSE,1240
hollow_eyes,Appearance,face,FALSE,1214
mouth_piercing,Appearance,face,FALSE,1205
extra_faces,Appearance,face,FALSE,1205
very_long_beard,Appearance,face,FALSE,1204
mark_under_both_eyes,Appearance,face,FALSE,1199
penis_over_eyes,Appearance,face,TRUE,1171
butterfly-shaped_pupils,Appearance,face,FALSE,1168
marking_on_cheek,Appearance,face,FALSE,1164
green_eyeshadow,Appearance,face,FALSE,1163
bloodshot_eyes,Appearance,face,FALSE,1153
compound_eyes,Appearance,face,FALSE,1149
masked,Appearance,face,FALSE,1131
official_alternate_eye_color,Appearance,face,FALSE,1129
brown_lips,Appearance,face,FALSE,1127
eye_reflection,Appearance,face,FALSE,1125
cream_on_face,Appearance,face,FALSE,1099
labret_piercing,Appearance,face,FALSE,1072
clock_eyes,Appearance,face,FALSE,1024
orange_pupils,Appearance,face,FALSE,1021
white_mouth,Appearance,face,FALSE,1005
bulging_eyes,Appearance,face,FALSE,1003
wide_oval_eyes,Appearance,face,FALSE,1002
cum_on_eyewear,Appearance,face,TRUE,1000
cross-eyed,Appearance,face,FALSE,996
braces,Appearance,face,FALSE,949
mutton_chops,Appearance,face,FALSE,947
runny_nose,Appearance,face,FALSE,939
lazy_eye,Appearance,face,FALSE,933
medium_sideburns,Appearance,face,FALSE,921
