name,category,type,explicit,count
hair_ornament,Attire,accessories,FALSE,1470551
gloves,Attire,accessories,FALSE,1402865
hat,Attire,accessories,FALSE,1244895
bow,Attire,accessories,FALSE,1216644
thighhighs,Attire,accessories,FALSE,1201695
ribbon,Attire,accessories,FALSE,1119476
jewelry,Attire,accessories,FALSE,1107086
hair_ribbon,Attire,accessories,FALSE,620986
earrings,Attire,accessories,FALSE,584749
pantyhose,Attire,accessories,FALSE,553723
hair_bow,Attire,accessories,FALSE,549827
hairband,Attire,accessories,FALSE,490343
boots,Attire,accessories,FALSE,475014
necktie,Attire,accessories,FALSE,461897
black_gloves,Attire,accessories,FALSE,457069
shoes,Attire,accessories,FALSE,445603
detached_sleeves,Attire,accessories,FALSE,438987
choker,Attire,accessories,FALSE,421767
socks,Attire,accessories,FALSE,404560
black_thighhighs,Attire,accessories,FALSE,385934
glasses,Attire,accessories,FALSE,377931
belt,Attire,accessories,FALSE,358920
hairclip,Attire,accessories,FALSE,347299
bowtie,Attire,accessories,FALSE,316510
elbow_gloves,Attire,accessories,FALSE,313243
hood,Attire,accessories,FALSE,309734
white_gloves,Attire,accessories,FALSE,309622
hair_flower,Attire,accessories,FALSE,289941
sailor_collar,Attire,accessories,FALSE,285861
fingerless_gloves,Attire,accessories,FALSE,269933
necklace,Attire,accessories,FALSE,257227
white_thighhighs,Attire,accessories,FALSE,231750
cape,Attire,accessories,FALSE,221813
red_bow,Attire,accessories,FALSE,219497
scarf,Attire,accessories,FALSE,218442
black_pantyhose,Attire,accessories,FALSE,217167
apron,Attire,accessories,FALSE,215539
high_heels,Attire,accessories,FALSE,207172
bracelet,Attire,accessories,FALSE,198701
collar,Attire,accessories,FALSE,196914
red_ribbon,Attire,accessories,FALSE,188282
neckerchief,Attire,accessories,FALSE,180567
black_footwear,Attire,accessories,FALSE,168319
thigh_strap,Attire,accessories,FALSE,163777
black_choker,Attire,accessories,FALSE,162267
wrist_cuffs,Attire,accessories,FALSE,156470
maid_headdress,Attire,accessories,FALSE,149133
ascot,Attire,accessories,FALSE,145464
sash,Attire,accessories,FALSE,145218
neck_ribbon,Attire,accessories,FALSE,144908
black_bow,Attire,accessories,FALSE,144332
black_ribbon,Attire,accessories,FALSE,138256
detached_collar,Attire,accessories,FALSE,135764
kneehighs,Attire,accessories,FALSE,131280
