name,category,type,explicit,count
1girl,count,false,,6197920
solo,count,false,,5153046
multiple_girls,count,false,,1582687
1boy,count,false,,1463428
2girls,count,false,,1056330
full_body,body,false,,850519
upper_body,body,false,,805396
male_focus,gender,false,,744307
multiple_boys,count,false,,484005
solo_focus,count,false,,368350
2boys,count,false,,315618
3girls,count,false,,250805
pokemon_(creature),species,false,,153904
no_humans,other,false,,153735
loli,archetype,true,,152713
maid,archetype,false,,152404
horse_girl,archetype,false,,122294
4girls,count,false,,114095
siblings,archetype,false,,112948
playboy_bunny,archetype,false,,107585
animal,species,false,,107105
muscular_male,archetype,false,,102753
cat_girl,archetype,false,,94872
6+girls,count,false,,86521
demon_girl,archetype,false,,84510
cat,species,false,,84047
fox_girl,archetype,false,,81926
magical_girl,archetype,false,,78727
3boys,count,false,,76793
1other,count,false,,75156
couple,archetype,false,,73388
elf,archetype,false,,73118
robot,species,false,,68017
sisters,archetype,false,,66453
monster_girl,archetype,false,,62503
5girls,count,false,,60364
otoko_no_ko,archetype,false,,58126
child,archetype,true,,57044
dragon_girl,archetype,false,,41076
clothed_female_nude_male,gender,true,,39659
mature_male,archetype,false,,38138
furry_female,species,false,,37292
furry_male,species,false,,35397
mature_female,archetype,false,,35320
futanari,archetype,true,,35048
faceless_male,body,false,,34465
4boys,count,false,,34001
rabbit_girl,archetype,false,,32902
6+boys,count,false,,32812
twins,archetype,false,,32274
monster,species,false,,32039
mini_person,body,false,,31749
wolf_girl,archetype,false,,31578
dog,species,false,,31501
height_difference,body,false,,31482
threesome,count,true,,30830
dog_girl,archetype,false,,29939
ghost,species,false,,29574
nontraditional_miko,archetype,false,,29326
rabbit,species,false,,29046
aged_up,body,false,,28911
brother_and_sister,archetype,true,,28563
oni,archetype,false,,28392
enmaided,archetype,false,,27912
dragon,species,false,,27468
animal_focus,species,false,,26606
minigirl,body,false,,26355
muscular_female,archetype,false,,25786
nun,archetype,false,,25105
chibi_only,body,false,,24620
interracial,archetype,false,,24485
character_doll,body,false,,24326
snake,species,false,,23678
android,species,false,,22658
size_difference,body,false,,22541
doll,body,false,,22196
shota,archetype,true,,22012
angel,archetype,false,,21451
miko,archetype,false,,21268
creature,species,false,,20539
bishounen,archetype,false,,20222
petite,body,false,,20003
inkling,species,false,,19400
cheerleader,archetype,false,,18807
witch,archetype,false,,18503
duel_monster,species,false,,18184
ninja,archetype,false,,17036
fairy,archetype,false,,16887
nurse,archetype,false,,16730
office_lady,archetype,false,,16639
toned_male,archetype,false,,16044
5boys,count,false,,15956
incest,archetype,true,,15763
futa_with_female,archetype,true,,15748
gyaru,archetype,false,,15688
mother_and_daughter,archetype,true,,15212
interspecies,archetype,true,,14761
waitress,archetype,false,,14627
vampire,archetype,false,,14351
idol,archetype,false,,14245
black_cat,species,false,,14243
frog,species,false,,14165
bat_(animal),species,false,,13936
mmf_threesome,count,true,,13596
giant,archetype,false,,13512
mecha_musume,archetype,false,,13054
brothers,archetype,false,,13019
ffm_threesome,count,true,,13012
onee-shota,archetype,true,,12329
multiple_persona,archetype,false,,12184
assertive_female,archetype,false,,12120
kitsune,archetype,false,,11893
police,archetype,false,,11849
mermaid,archetype,false,,11794
same-sex_bathing,other,false,,11651
cat_boy,archetype,false,,10799
dark_persona,archetype,false,,10743
mouse_girl,archetype,false,,10734
old_man,archetype,false,,10665
shark_girl,archetype,false,,10411
toned_female,archetype,false,,10348
genderswap_(ftm),archetype,false,,10061
cow_girl,archetype,false,,10037
monster_boy,archetype,false,,10001
miqo'te,archetype,false,,9796
digimon_(creature),species,false,,9681
cyborg,archetype,false,,9681
horse,species,false,,9624
faceless_female,body,false,,9466
race_queen,archetype,false,,9422
skeleton,species,false,,9396
tomboy,archetype,false,,9127
2others,count,false,,9062
giantess,archetype,false,,9028
pregnant,archetype,false,,8894
nekomata,archetype,false,,8781
jiangshi,archetype,false,,8686
clothed_male_nude_female,gender,true,,8674
octoling,species,false,,8541
bride,archetype,false,,8367
demon_boy,archetype,false,,8225
husband_and_wife,archetype,false,,8147
knight,archetype,false,,8061
father_and_daughter,archetype,true,,8040
mouse_(animal),species,false,,8033
shiny_pokemon,species,false,,7963
alien,species,false,,7924
dog_boy,archetype,false,,7833
fox,species,false,,7827
fat_man,archetype,false,,7809
girl_sandwich,count,true,,7667
wolf,species,false,,7657
boy_on_top,other,true,,7612
mixed-sex_bathing,other,true,,7519
penguin,species,false,,7492
family,archetype,false,,7433
arthropod_girl,archetype,false,,7327
karakasa_obake,archetype,false,,7279
zombie,archetype,false,,7199
yandere,archetype,false,,7179
dark_elf,archetype,false,,7116
knight,archetype,false,,8061
demon,archetype,false,,7059
fat_mons,other,false,,6968
policewoman,archetype,false,,6940
crow,species,false,,6756
chick,species,false,,6691
crowd,other,false,,6676
fox_boy,archetype,false,,6635
reverse_trap,archetype,false,,6499
crab,species,false,,6413
furry_with_non-furry,archetype,false,,6403
oppai_loli,archetype,true,,6345
wolf_boy,archetype,false,,6266
mother_and_son,archetype,false,,6256
baby,archetype,false,,6245
raccoon_girl,archetype,false,,6127
tiger_girl,archetype,false,,6071
bear,species,false,,6028
dragon_boy,archetype,false,,5942
lion_girl,archetype,false,,5901
taur,archetype,false,,5790
dancer,archetype,false,,5701
non-humanoid_robot,species,false,,5584
kogal,archetype,false,,5559
miniboy,body,false,,5528
kyuubi,archetype,false,,5463
w_arms,other,false,,5448
sailor,archetype,false,,5440
white_cat,species,false,,5424
father_and_son,archetype,false,,5405
duck,species,false,,5355
tiger,species,false,,5354
octopus,species,false,,5345
tsundere,archetype,false,,5344
harpy,archetype,false,,5337
humanoid_robot,species,false,,5278
seagull,species,false,,5182
teacher,archetype,false,,5181
sheep,species,false,,5167
people,other,false,,5144
clothed_pokemon,species,false,,5129
lamia,archetype,false,,5065
chicken,species,false,,5013
au_ra,archetype,false,,4982
super_saiyan,archetype,false,,4858
bird_girl,archetype,false,,4835
wa_maid,archetype,false,,4831
eastern_dragon,species,false,,4760
sheep_girl,archetype,false,,4757
bird_on_head,other,false,,4566
figure,body,false,,4504
owl,species,false,,4464
tiger_boy,archetype,false,,4381
slave,archetype,false,,4360
slime_girl,archetype,false,,4342
soldier,archetype,false,,4279
kodomo_doushi,archetype,false,,4255
nontraditional_playboy_bunny,archetype,false,,4194
mega_pokemon,species,false,,4189
pokemon_focus,species,false,,4183
clothed_animal,species,false,,4183
goldfish,species,false,,4154
squirrel_girl,archetype,false,,4101
robot_girl,archetype,false,,3968
shark,species,false,,3948
onee-loli,archetype,false,,3880
princess,archetype,false,,3878
orc,archetype,false,,3873
wife_and_wife,archetype,false,,3842
shortstack,archetype,false,,3784
panda,species,false,,3690
shimakaze_(kancolle)_(cosplay),archetype,false,,3689
slime_(creature),species,false,,3660
furry_with_furry,archetype,false,,3652
pirate,archetype,false,,3634
tall_female,archetype,false,,3633
corpse,other,false,,3599
pig,species,false,,3595
dove,species,false,,3504
oversized_animal,species,false,,3499
disembodied_head,body,false,,3480
futa_with_male,archetype,true,,3479
creature_and_personification,archetype,false,,3306
clothed_female_nude_female,gender,true,,3259
bisexual_female,archetype,false,,3254
hamster,species,false,,3249
samurai,archetype,false,,3197
white_bird,species,false,,3178
cousins,archetype,false,,3157
bird_on_hand,other,false,,3154
bangboo_(zenless_zone_zero),species,false,,3142
hyur,archetype,false,,3068
traditional_nun,archetype,false,,3045
whale,species,false,,3028
sangvis_ferri,archetype,false,,3014
cyclops,archetype,false,,2966
turtle,species,false,,2960
squirrel,species,false,,2949
butler,archetype,false,,2902
3others,count,false,,2872
spider,species,false,,2818
striker_unit,other,false,,2802
rabbit_boy,archetype,false,,2787
goblin,archetype,false,,2757
lion,species,false,,2722
bear_girl,archetype,false,,2716
6+others,count,false,,2709
tanuki,archetype,false,,2705
group_picture,other,false,,2664
furrification,archetype,false,,2651
implied_futanari,archetype,true,,2643
dwarf,archetype,false,,2643
viera,archetype,false,,2605
dinosaur,species,false,,2602
pokemon_on_head,other,false,,2590
fish_girl,archetype,false,,2583
unconscious,other,false,,2569
monkey,species,false,,2560
male_playboy_bunny,archetype,false,,2537
spider_girl,archetype,false,,2529
dominatrix,archetype,true,,2498
old_woman,archetype,false,,2467
plant_girl,archetype,false,,2447
bird_on_shoulder,other,false,,2434
white_snake,species,false,,2430
futa_with_futa,archetype,true,,2410
dolphin,species,false,,2398
lion_boy,archetype,false,,2343
mascot,other,false,,2339
autobot,species,false,,2333
priest,archetype,false,,2333
bat_girl,archetype,false,,2309
harvin,archetype,false,,2287
goat_girl,archetype,false,,2286
deer,species,false,,2277
squid,species,false,,2274
chef,archetype,false,,2248
delinquent,archetype,false,,2234
glutton,archetype,false,,2228
deer_girl,archetype,false,,2220
ballerina,archetype,false,,2218
cow_boy,archetype,false,,2203
shiba_inu,species,false,,2201
traditional_youkai,archetype,false,,2201
cowboy_western,archetype,false,,2196
cat_teaser,other,false,,2194
eagle,species,false,,2141
mesugaki,archetype,false,,2119
asian,archetype,false,,2111
male_maid,archetype,false,,2108
pikmin_(creature),species,false,,2076
