name,category,type,explicit,count
simple_background,context,Color,false,1900457
white_background,context,Color,false,1567184
monochrome,context,Color,false,649017
outdoors,context,Other,false,557651
greyscale,context,Color,false,515645
sky,context,Sky,false,449235
indoors,context,Indoor,false,377431
day,context,Sky,false,350080
cloud,context,Sky,false,299418
speech_bubble,context,Other,false,284910
grey_background,context,Color,false,276826
blurry,context,Effect,false,235858
water,context,Nature,false,227531
blue_sky,context,Sky,false,202592
sparkle,context,Effect,false,156173
gradient_background,context,Color,false,144926
window,context,Indoor,false,136451
blurry_background,context,Effect,false,136238
blue_background,context,Color,false,126972
shadow,context,Effect,false,123026
night,context,Sky,false,121320
on_bed,context,Indoor,false,115644
bed,context,Indoor,false,109854
depth_of_field,context,Effect,false,105685
glowing,context,Effect,false,104882
ocean,context,Nature,false,103359
pink_background,context,Color,false,99081
bed_sheet,context,Indoor,false,98122
beach,context,Nature,false,94433
white_border,context,Color,false,91832
flying_sweatdrops,context,Effect,false,91157
transparent_background,context,Color,false,90318
black_background,context,Color,false,85495
sunlight,context,Sky,false,80400
moon,context,Sky,false,79446
grass,context,Nature,false,78893
cloudy_sky,context,Sky,false,77949
motion_lines,context,Effect,false,73971
fire,context,Effect,false,73617
curtains,context,Indoor,false,68243
yellow_background,context,Color,false,65303
polka_dot,context,Color,false,63755
red_background,context,Color,false,62848
building,context,Indoor,false,62232
star_(sky),context,Sky,false,59710
night_sky,context,Sky,false,57714
steam,context,Effect,false,56602
cherry_blossoms,context,Nature,false,56413
light_particles,context,Effect,false,56108
wind,context,Effect,false,54810
scenery,context,Other,false,53942
nature,context,Nature,false,50839
christmas,context,Other,false,47384
two-tone_background,context,Color,false,46757
green_background,context,Color,false,44687
brown_background,context,Color,false,44370
purple_background,context,Color,false,43446
smoke,context,Effect,false,42931
snow,context,Nature,false,42025
spot_color,context,Color,false,41995
full_moon,context,Sky,false,41674
lens_flare,context,Effect,false,39671
reflection,context,Effect,false,39670
starry_sky,context,Sky,false,38854
forest,context,Nature,false,37030
partially_submerged,context,Nature,false,36073
rain,context,Nature,false,35835
halloween,context,Other,false,35729
thought_bubble,context,Other,false,35392
backlighting,context,Effect,false,34973
bubble,context,Effect,false,34537
emphasis_lines,context,Effect,false,33842
notice_lines,context,Effect,false,31864
blurry_foreground,context,Effect,false,30883
orange_background,context,Color,false,30410
white_outline,context,Color,false,30084
sunset,context,Sky,false,30062
wooden_floor,context,Indoor,false,29238
blue_halo,context,Effect,false,28809
machinery,context,Other,false,28495
blue_theme,context,Color,false,28487
pink_halo,context,Effect,false,27808
snowing,context,Nature,false,27628
glint,context,Effect,false,27423
new_year,context,Other,false,27235
water_drop,context,Effect,false,27219
on_floor,context,Other,false,27142
stairs,context,Other,false,27020
steaming_body,context,Effect,false,26613
light_rays,context,Effect,false,26557
city,context,Other,false,26278
tiles,context,Other,false,25837
