name,category,type,explicit,count
blush,Expression,blush,FALSE,3035927
nose_blush,Expression,blush,FALSE,109442
blush_stickers,Expression,blush,FALSE,107023
embarrassed,Expression,blush,FALSE,100860
light_blush,Expression,blush,FALSE,71888
full-face_blush,Expression,blush,FALSE,23777
ear_blush,Expression,blush,FALSE,12172
shy,Expression,blush,FALSE,9856
spoken_blush,Expression,blush,FALSE,7220
body_blush,Expression,blush,FALSE,7126
flustered,Expression,blush,FALSE,3678
shoulder_blush,Expression,blush,FALSE,1172
single_blush_sticker,Expression,blush,FALSE,652
hand_blush,Expression,blush,FALSE,477
blush_visible_through_hair,Expression,blush,FALSE,362
hair_blush,Expression,blush,FALSE,158
neck_blush,Expression,blush,FALSE,154
full-body_blush,Expression,blush,FALSE,139
striped_blush,Expression,blush,FALSE,116
elbow_blush,Expression,blush,FALSE,105
closed_eyes,Expression,eyes,FALSE,735312
one_eye_closed,Expression,eyes,FALSE,446882
half-closed_eyes,Expression,eyes,FALSE,98384
tareme,Expression,eyes,FALSE,39191
wide-eyed,Expression,eyes,FALSE,33941
blinking,Expression,eyes,FALSE,9083
half-closed_eye,Expression,eyes,FALSE,7321
narrowed_eyes,Expression,eyes,FALSE,4764
upturned_eyes,Expression,eyes,FALSE,3609
unusually_open_eyes,Expression,eyes,FALSE,3279
squinting,Expression,eyes,FALSE,1647
downturned_eyes,Expression,eyes,FALSE,324
opening_eyes,Expression,eyes,FALSE,240
lowered_eyelids,Expression,eyes,FALSE,196
downcast_eyes,Expression,eyes,FALSE,142
open_mouth,Expression,mouth,FALSE,2462686
closed_mouth,Expression,mouth,FALSE,1232471
parted_lips,Expression,mouth,FALSE,512822
tongue_out,Expression,mouth,FALSE,289897
:o,Expression,mouth,FALSE,192939
wavy_mouth,Expression,mouth,FALSE,81420
split_mouth,Expression,mouth,FALSE,20725
fang_out,Expression,mouth,FALSE,13522
sideways_mouth,Expression,mouth,FALSE,7362
puckered_lips,Expression,mouth,FALSE,4724
pursed_lips,Expression,mouth,FALSE,1536
puckered_face,Expression,mouth,FALSE,177
tears,Expression,negative,FALSE,240518
sweatdrop,Expression,negative,FALSE,236571
frown,Expression,negative,FALSE,112320
crying,Expression,negative,FALSE,79909
trembling,Expression,negative,FALSE,79724
clenched_teeth,Expression,negative,FALSE,70803
>_<,Expression,negative,FALSE,67014
tearing_up,Expression,negative,FALSE,46441
angry,Expression,negative,FALSE,45605
:<,Expression,negative,FALSE,42034
furrowed_brow,Expression,negative,FALSE,39661
crying_with_eyes_open,Expression,negative,FALSE,37660
@_@,Expression,negative,FALSE,36760
empty_eyes,Expression,negative,FALSE,34598
pout,Expression,negative,FALSE,26726
evil_smile,Expression,negative,FALSE,15651
light_frown,Expression,negative,FALSE,15354
wince,Expression,negative,FALSE,15335
scared,Expression,negative,FALSE,15274
nervous_sweating,Expression,negative,FALSE,13909
annoyed,Expression,negative,FALSE,13746
rolling_eyes,Expression,negative,FALSE,13372
nervous,Expression,negative,FALSE,12560
sad,Expression,negative,FALSE,12496
:/,Expression,negative,FALSE,12197
glaring,Expression,negative,FALSE,9145
streaming_tears,Expression,negative,FALSE,8536
turn_pale,Expression,negative,FALSE,8082
teardrop,Expression,negative,FALSE,7991
nervous_smile,Expression,negative,FALSE,7453
crazy_eyes,Expression,negative,FALSE,6701
evil_grin,Expression,negative,FALSE,6578
>:(,Expression,negative,FALSE,5770
:>=,Expression,negative,FALSE,5605
gloom_(Expression),Expression,negative,FALSE,5406
scowl,Expression,negative,FALSE,4820
;q,Expression,negative,FALSE,4805
spoken_anger_vein,Expression,negative,FALSE,4758
u_u,Expression,negative,FALSE,4589
screaming,Expression,negative,FALSE,4094
jealous,Expression,negative,FALSE,3974
worried,Expression,negative,FALSE,3839
confused,Expression,negative,FALSE,3811
small_sweatdrop,Expression,negative,FALSE,3680
grimace,Expression,negative,FALSE,3652
sigh,Expression,negative,FALSE,3619
false_smile,Expression,negative,FALSE,3575
humiliation,Expression,negative,FALSE,3485
crazy_smile,Expression,negative,FALSE,3258
have_to_pee,Expression,negative,FALSE,3078
spoken_sweatdrop,Expression,negative,FALSE,2843
pain,Expression,negative,FALSE,2597
disgust,Expression,negative,FALSE,2550
._.,Expression,negative,FALSE,2467
x_x,Expression,negative,FALSE,2392
unamused,Expression,negative,FALSE,2203
>o<,Expression,negative,FALSE,2058
exhausted,Expression,negative,FALSE,2035
sick,Expression,negative,FALSE,1714
bored,Expression,negative,FALSE,1622
facepalm,Expression,negative,FALSE,1386
pouty_lips,Expression,negative,FALSE,1133
single_tear,Expression,negative,FALSE,1060
forced_smile,Expression,negative,FALSE,932
gesugao,Expression,negative,FALSE,918
depressed,Expression,negative,FALSE,899
sad_smile,Expression,negative,FALSE,859
:c,Expression,negative,FALSE,828
thumbs_down,Expression,negative,FALSE,801
menacing_(jojo),Expression,negative,FALSE,796
;(,Expression,negative,FALSE,772
heart_hands_failure,Expression,negative,FALSE,765
sobbing,Expression,negative,FALSE,756
unhappy,Expression,negative,FALSE,750
glasgow_smile,Expression,negative,FALSE,733
tantrum,Expression,negative,FALSE,706
fever,Expression,negative,FALSE,654
pleading_face_emoji,Expression,negative,FALSE,653
lonely,Expression,negative,FALSE,647
furious,Expression,negative,FALSE,616
despair,Expression,negative,FALSE,605
horrified,Expression,negative,FALSE,557
frustrated,Expression,negative,FALSE,507
rejection,Expression,negative,FALSE,502
disappointed,Expression,negative,FALSE,433
crying_emoji,Expression,negative,FALSE,409
awkward,Expression,negative,FALSE,387
clumsy,Expression,negative,FALSE,373
traumatized,Expression,negative,FALSE,370
comedic_sweatdrop,Expression,negative,FALSE,352
dizzy,Expression,negative,FALSE,333
insult,Expression,negative,FALSE,326
distress,Expression,negative,FALSE,323
disdain,Expression,negative,FALSE,315
dazed,Expression,negative,FALSE,305
sulking,Expression,negative,FALSE,303
sneer,Expression,negative,FALSE,302
crazy_grin,Expression,negative,FALSE,278
pleading_eyes,Expression,negative,FALSE,268
grumpy,Expression,negative,FALSE,243
crying_aqua_(meme),Expression,negative,FALSE,239
dripping_eye,Expression,negative,FALSE,239
grimace_shake_(meme),Expression,negative,FALSE,221
delusion_(genshin_impact),Expression,negative,FALSE,209
envy,Expression,negative,FALSE,195
wryyyyyyyyyyyyyyyyyyyy,Expression,negative,FALSE,195
tears_from_one_eye,Expression,negative,FALSE,185
stutter,Expression,negative,FALSE,181
growling,Expression,negative,FALSE,169
mourning,Expression,negative,FALSE,169
