name,category,type,explicit,count
comic,genre,style,false,555712
sex,genre,adult,true,276408
chibi,genre,style,false,252241
yuri,genre,theme,false,227753
military,genre,theme,false,102444
furry,genre,theme,false,79250
bara,genre,theme,false,76925
yaoi,genre,adult,true,73650
bdsm,genre,adult,true,67832
bondage,genre,adult,true,57549
science_fiction,genre,scifi,false,43656
after_sex,genre,adult,true,38841
music,genre,theme,false,25371
contemporary,genre,theme,false,24841
realistic,genre,style,false,23574
magic,genre,fantasy,false,17930
femdom,genre,adult,true,16951
battle,genre,theme,false,16837
happy_sex,genre,adult,true,16551
fantasy,genre,fantasy,false,16266
sexually_suggestive,genre,adult,true,14026
public_indecency,genre,adult,true,13817
animalization,genre,theme,false,12575
slice_of_life,genre,theme,false,9271
bestiality,genre,adult,true,8748
exhibitionism,genre,adult,true,7851
teamwork_(sexual),genre,adult,true,7430
netorare,genre,adult,true,7159
horror_(theme),genre,theme,false,6500
defeat,genre,theme,false,6453
alternate_universe,genre,theme,false,6408
danmaku,genre,theme,false,6025
death,genre,theme,false,6011
orgy,genre,adult,true,5900
1980s_(style),genre,style,false,5743
ancient_egyptian,genre,theme,false,5354
fashion,genre,theme,false,5140
surreal,genre,style,false,5019
happy_halloween,genre,theme,false,4965
guro,genre,adult,true,4884
corruption,genre,theme,false,4589
happy_valentine,genre,theme,false,4444
5koma,genre,style,false,3965
abstract,genre,style,false,3889
tokusatsu,genre,theme,false,3861
mechabare,genre,theme,false,3855
faux_traditional_media,genre,style,false,3678
monsterification,genre,theme,false,3456
cyberpunk,genre,scifi,false,3423
harem,genre,theme,false,3220
fine_art_parody,genre,style,false,3217
toon_(style),genre,style,false,3157
pyrokinesis,genre,fantasy,false,3020
painterly,genre,style,false,3018
trick_or_treat,genre,theme,false,2998
screentones,genre,style,false,2949
square_4koma,genre,style,false,2918
left-to-right_manga,genre,style,false,2685
super_robot,genre,scifi,false,2683
electrokinesis,genre,fantasy,false,2680
pet_play,genre,adult,true,2558
twincest,genre,adult,true,2513
rainbow_order,genre,theme,false,2446
inflation,genre,theme,false,2387
spirit,genre,fantasy,false,2351
ryona,genre,adult,true,2205
psychic,genre,fantasy,false,2186
implied_yuri,genre,adult,true,2147
role_reversal,genre,theme,false,2136
k-pop,genre,theme,false,2091
voyeurism,genre,adult,true,2018
hydrokinesis,genre,fantasy,false,1974
tribal,genre,theme,false,1972
implied_yaoi,genre,adult,true,1962
angel_and_devil,genre,theme,false,1933
mechanization,genre,scifi,false,1930
telekinesis,genre,fantasy,false,1929
feral_instincts,genre,theme,false,1874
pornography,genre,adult,true,1821
ballet,genre,theme,false,1803
steampunk,genre,scifi,false,1656
henshin,genre,theme,false,1593
art_nouveau,genre,style,false,1545
vore,genre,adult,true,1442
punk,genre,theme,false,1411
uncommon_stimulation,genre,adult,true,1408
war,genre,theme,false,1388
abuse,genre,adult,true,1334
yume_kawaii,genre,theme,false,1313
alphes_(style),genre,style,false,1302
masochism,genre,adult,true,1298
they_had_lots_of_sex_afterwards_(meme),genre,adult,true,1288
sadism,genre,adult,true,1172
gyaru_v,genre,theme,false,1151
western_comics_(style),genre,style,false,1129
wa_lolita,genre,theme,false,1113
amesuku_gyaru,genre,theme,false,1078
ero_guro,genre,adult,true,1055
medieval,genre,theme,false,1034
nihonga,genre,style,false,1027
emo_fashion,genre,theme,false,991
cyber_fashion,genre,scifi,false,971
body_horror,genre,theme,false,968
body_switch,genre,theme,false,960
decora,genre,theme,false,955
clone_harem,genre,adult,true,935
cute_&_girly_(idolmaster),genre,theme,false,929
lolidom,genre,adult,true,915
martial_arts,genre,theme,false,870
yami_kawaii,genre,theme,false,819
pinup_(style),genre,style,false,692
lgbt_pride,genre,theme,false,659
classic_lolita,genre,theme,false,614
animal_sexualization,genre,adult,true,608
violence,genre,theme,false,601
chaos_(warhammer),genre,scifi,false,547
nightmare,genre,theme,false,444
reverse_netorare,genre,adult,true,431
midnight_bliss,genre,theme,false,429
scat,genre,adult,true,414
spicy,genre,theme,false,380
imminent_suicide,genre,theme,false,378
love_triangle,genre,theme,false,364
imminent_death,genre,theme,false,355
pony_play,genre,adult,true,351
impressionism,genre,style,false,347
heavy_metal,genre,theme,false,337
zombification,genre,theme,false,323
vaporwave,genre,theme,false,260
male_harem,genre,theme,false,253
hip_hop,genre,theme,false,227
polygamy,genre,theme,false,214
color_wheel_challenge,genre,style,false,213
pov_dating,genre,theme,false,212
mexican_standoff,genre,theme,false,207
apocalypse,genre,theme,false,197
bedwetting,genre,theme,false,196
florakinesis,genre,fantasy,false,181
scene_fashion,genre,theme,false,180
roseate_desire_(e.g.o),genre,adult,true,168
feminization,genre,adult,true,159
solemn_lament_(e.g.o),genre,theme,false,154
visual_kei,genre,theme,false,151
urban_legend,genre,theme,false,130
militaria_(nikke),genre,theme,false,130
intertwined_fate,genre,theme,false,130
moe2016,genre,theme,false,129
fire_elemental,genre,fantasy,false,128
candy_gore,genre,style,false,123
jidaigeki,genre,theme,false,104
rapture_(nikke),genre,theme,false,102
mixed_harem,genre,theme,false,99
