name,category,type,explicit,count
hetero,identity,meta,false,562855
censored,censor,meta,false,470835
virtual_youtuber,identity,meta,false,415264
artist_name,credit,meta,false,394698
signature,credit,meta,false,310740
twitter_username,credit,meta,false,281652
english_text,text,meta,false,251317
character_name,identity,meta,false,211075
mosaic_censoring,censor,meta,false,206862
dated,other,meta,false,194476
v,other,meta,false,158155
bar_censor,censor,meta,false,156702
sketch,style,meta,false,154912
border,format,meta,false,145234
cosplay,style,meta,false,140755
uncensored,censor,meta,false,139455
watermark,credit,meta,false,130996
copyright_name,credit,meta,false,122775
4koma,style,meta,false,101204
parody,style,meta,false,79348
?,other,meta,false,72086
cover,format,meta,false,70340
aged_down,style,meta,false,66946
crossover,style,meta,false,66102
letterboxed,format,meta,false,57905
outside_border,format,meta,false,57140
meme,style,meta,false,55393
^^^,other,meta,false,53851
...,other,meta,false,53786
casual,style,meta,false,51252
breath,style,meta,false,50637
logo,credit,meta,false,50395
outline,style,meta,false,50213
web_address,credit,meta,false,50119
cover_page,format,meta,false,49583
spoken_heart,text,meta,false,48356
genderswap,style,meta,false,47742
faceless,style,meta,false,46447
patreon_username,credit,meta,false,46327
clothes_writing,text,meta,false,45401
clothing_aside,style,meta,false,45354
mecha,style,meta,false,44156
happy_birthday,text,meta,false,43182
convenient_censoring,censor,meta,false,42482
dual_persona,identity,meta,false,41428
personification,style,meta,false,37161
kemonomimi_mode,style,meta,false,37056
age_difference,other,meta,false,36595
genderswap_(mtf),style,meta,false,36530
spoken_ellipsis,text,meta,false,36289
crossdressing,style,meta,false,35743
jitome,style,meta,false,35738
one-hour_drawing_challenge,other,meta,false,35678
:q,text,meta,false,32690
doujin_cover,format,meta,false,31071
chinese_text,text,meta,false,29928
+_+,text,meta,false,29898
2koma,format,meta,false,29830
double_v,style,meta,false,28608
=_=,text,meta,false,27408
:t,text,meta,false,27179
korean_text,text,meta,false,26801
!?,text,meta,false,26648
sound_effects,text,meta,false,26337
arrow_(symbol),text,meta,false,26069
borrowed_character,style,meta,false,25841
oekaki,style,meta,false,25180
;),text,meta,false,24728
alternate_color,style,meta,false,24385
o_o,text,meta,false,24287
page_number,text,meta,false,24082
dakimakura_(medium),format,meta,false,23485
vision_(genshin_impact),identity,meta,false,23228
copyright_notice,credit,meta,false,23016
artist_logo,credit,meta,false,22968
|_|,text,meta,false,22026
tachi-e,format,meta,false,21866
card_(medium),format,meta,false,21276
pixel_art,style,meta,false,20915
spoken_question_mark,text,meta,false,20750
yokozuwari,style,meta,false,20464
silent_comic,format,meta,false,20362
name_tag,text,meta,false,20004
heart_censor,censor,meta,false,18725
retro_artstyle,style,meta,false,18658
3d,style,meta,false,18535
other_focus,other,meta,false,18402
w,text,meta,false,18331
sample_watermark,credit,meta,false,17993
chinese_zodiac,other,meta,false,17924
habit,style,meta,false,17909
limited_palette,style,meta,false,17847
+++,text,meta,false,17833
multiple_others,other,meta,false,17831
id_card,text,meta,false,17753
animification,style,meta,false,17726
text_focus,text,meta,false,17685
3koma,format,meta,false,17412
chibi_inset,style,meta,false,17346
patreon_logo,credit,meta,false,17120
bad_anatomy,other,meta,false,16435
invisible_chair,style,meta,false,16153
squiggle,text,meta,false,15776
style_parody,style,meta,false,15746
reference_sheet,format,meta,false,15728
shade,style,meta,false,15689
weibo_watermark,credit,meta,false,15517
dark,style,meta,false,15355
:>,text,meta,false,15339
everyone,identity,meta,false,15311
pointless_censoring,censor,meta,false,15156
heart_of_string,style,meta,false,14863
company_name,credit,meta,false,14379
partially_colored,style,meta,false,14154
gameplay_mechanics,style,meta,false,13851
spoken_exclamation_mark,text,meta,false,13820
>:),text,meta,false,13803
stitches,style,meta,false,13660
anniversary,other,meta,false,13478
out-of-frame_censoring,censor,meta,false,11897
split,format,meta,false,11575
name_connection,identity,meta,false,11035
official_style,style,meta,false,10940
draph,identity,meta,false,10606
voice_actor_connection,identity,meta,false,10600
hair_censor,censor,meta,false,10546
trigger_discipline,other,meta,false,10371
artist_self-insert,other,meta,false,10293
fake_screenshot,style,meta,false,10195
official_alternate_hair_length,style,meta,false,10090
trait_connection,identity,meta,false,9690
gap_(touhou),other,meta,false,9663
1990s_(style),style,meta,false,9588
infection_monitor_(arknights),other,meta,false,9547
erune,identity,meta,false,9316
mind_control,other,meta,false,9307
2000s_(style),style,meta,false,9266
content_rating,other,meta,false,9210
ranguage,text,meta,false,9177
flat_color,style,meta,false,9167
spoken_musical_note,text,meta,false,9115
fox_shadow_puppet,style,meta,false,8989
recording,other,meta,false,8902
material_growth,other,meta,false,8752
humanization,style,meta,false,8641
company_connection,identity,meta,false,8119
engrish_text,text,meta,false,8096
artistic_error,other,meta,false,8021
3:00,text,meta,false,8007
oripathy_lesion_(arknights),other,meta,false,7897
yukkuri_shiteitte_ne,text,meta,false,7866
costume_switch,style,meta,false,7820
take_your_pick,other,meta,false,7774
pun,text,meta,false,7754
pervert,identity,meta,false,7724
beamed_eighth_notes,text,meta,false,7705
time_paradox,other,meta,false,7400
remodel_(kantai_collection),other,meta,false,7258
ambiguous_gender,identity,meta,false,7107
still_life,style,meta,false,7012
thank_you,text,meta,false,6850
female_pervert,identity,meta,false,6843
romaji_text,text,meta,false,6820
clone,identity,meta,false,6804
hypnosis,other,meta,false,6733
album_cover,format,meta,false,6385
stand_(jojo),other,meta,false,6279
reference_inset,format,meta,false,6206
multiple_4koma,format,meta,false,6143
fusion,style,meta,false,5905
2023,other,meta,false,5760
too_many,other,meta,false,5700
??,text,meta,false,5586
reverse_suspended_congress,other,meta,false,5567
2022,other,meta,false,5560
soul_gem,other,meta,false,5545
egasumi,other,meta,false,5510
spoken_squiggle,text,meta,false,5494
flexible,identity,meta,false,5484
in-franchise_crossover,style,meta,false,5416
brand_name_imitation,style,meta,false,5416
2024,other,meta,false,5290
mixed-language_text,text,meta,false,5260
novelty_censor,censor,meta,false,5210
\||/,text,meta,false,5183
spoken_interrobang,text,meta,false,5179
deformed,other,meta,false,5155
subtitled,text,meta,false,5119
milestone_celebration,other,meta,false,5113
mecha_focus,other,meta,false,5086
twitter_logo,credit,meta,false,5051
collage,format,meta,false,4991
2021,other,meta,false,4988
song_name,text,meta,false,4956
character_profile,format,meta,false,4894
