name,category,group,explicit,count
flower,object,natural,false,642850
weapon,object,tools,false,613201
heart,object,decor,false,606106
food,object,food,false,459006
sword,object,tools,false,282737
star_(symbol),object,decor,false,248114
bag,object,household,false,234137
cup,object,household,false,188668
tree,object,natural,false,173202
pillow,object,household,false,148794
gun,object,tools,false,148466
book,object,household,false,142973
petals,object,natural,false,133118
bell,object,decor,false,123589
fruit,object,food,false,112116
bird,object,natural,false,109554
rose,object,natural,false,109082
leaf,object,natural,false,108533
chain,object,tools,false,106739
phone,object,tools,false,102955
white_flower,object,natural,false,97114
chair,object,household,false,94418
umbrella,object,tools,false,91562
ring,object,decor,false,88546
stuffed_toy,object,household,false,88131
table,object,household,false,87924
cellphone,object,tools,false,81580
feathers,object,natural,false,78042
red_flower,object,natural,false,77237
plant,object,natural,false,75905
cross,object,decor,false,74775
bottle,object,household,false,74228
stuffed_animal,object,household,false,72102
bug,object,natural,false,71603
gem,object,other,false,68619
knife,object,tools,false,66469
katana,object,tools,false,66041
bandaid,object,other,false,64303
pink_flower,object,natural,false,61360
staff,object,tools,false,60111
box,object,household,false,58488
instrument,object,tools,false,58232
polearm,object,tools,false,57920
towel,object,household,false,57871
butterfly,object,natural,false,55790
smartphone,object,tools,false,55768
candy,object,food,false,55612
crescent,object,decor,false,55226
couch,object,household,false,54817
musical_note,object,decor,false,54269
sex_toy,object,other,True,53413
rope,object,tools,false,53402
sheath,object,tools,false,53155
microphone,object,tools,false,52979
o-ring,object,other,false,49120
motor_vehicle,object,other,false,47080
plate,object,household,false,46640
jingle_bell,object,decor,false,46438
blue_flower,object,natural,false,45409
spikes,object,tools,false,44886
rifle,object,tools,false,42527
desk,object,household,false,42234
gift,object,household,false,42233
drinking_glass,object,household,false,41833
beads,object,decor,false,41363
ball,object,other,false,41300
cake,object,food,false,39743
handgun,object,tools,false,39505
alcohol,object,food,false,38270
fish,object,food,false,38116
tray,object,household,false,37870
pouch,object,household,false,36882
yellow_flower,object,natural,false,35850
cigarette,object,other,false,34950
condom,object,other,True,34830
purple_flower,object,natural,false,33644
bowl,object,household,false,33423
teacup,object,household,false,33352
broom,object,tools,false,33164
school_bag,object,household,false,32765
head_rest,object,household,false,32635
drinking_straw,object,household,false,31775
red_rose,object,natural,false,31766
innertube,object,other,false,31315
paper,object,household,false,31312
watch,object,tools,false,31189
poke_ball,object,other,false,29458
mug,object,household,false,29388
shield,object,tools,false,29170
bouquet,object,natural,false,29071
lollipop,object,food,false,28967
lantern,object,decor,false,28793
mirror,object,household,false,28734
teddy_bear,object,household,false,28472
rock,object,natural,false,28116
open_book,object,household,false,28029
skull,object,other,false,28005
ice,object,food,false,27787
card,object,household,false,27741
popsicle,object,food,false,27458
can,object,household,false,27330
crystal,object,other,false,27014
leash,object,tools,false,26942
abyssal_ship,object,other,false,26700
sign,object,household,false,26445
chocolate,object,food,false,26086
spoon,object,household,false,25936
chopsticks,object,household,false,25897
strawberry,object,food,false,25744
drink,object,food,false,25732
ice_cream,object,food,false,25678
spear,object,tools,false,25301
fork,object,household,false,25151
bow_(weapon),object,tools,false,24746
ofuda,object,other,false,24527
branch,object,natural,false,24377
fence,object,household,false,24324
palm_tree,object,natural,false,23761
vibrator,object,other,True,23457
door,object,household,false,23230
camera,object,tools,false,23225
apple,object,food,false,22877
dildo,object,other,True,22713
potted_plant,object,household,false,22283
gift_box,object,household,false,22116
sunflower,object,natural,false,22098
