name,category,type,explicit,count
cowboy_shot,Perspective,other,FALSE,581980
on_back,Perspective,other,FALSE,261032
from_behind,Perspective,other,FALSE,240098
from_side,Perspective,other,FALSE,230966
multiple_views,Perspective,other,FALSE,172839
upper_teeth_only,Perspective,other,FALSE,161839
feet_out_of_frame,Perspective,other,FALSE,157255
profile,Perspective,other,FALSE,133678
pov,Perspective,other,FALSE,129035
dutch_angle,Perspective,other,FALSE,122080
from_above,Perspective,other,FALSE,102190
back,Perspective,other,FALSE,94717
on_side,Perspective,other,FALSE,91798
portrait,Perspective,other,FALSE,86050
from_below,Perspective,other,FALSE,85594
on_stomach,Perspective,other,FALSE,67609
facing_viewer,Perspective,other,FALSE,65038
foreshortening,Perspective,other,FALSE,54738
close-up,Perspective,other,FALSE,47845
cropped_torso,Perspective,other,FALSE,45695
one_eye_covered,Perspective,other,FALSE,41864
out_of_frame,Perspective,other,FALSE,34402
upskirt,Perspective,other,TRUE,33736
straight-on,Perspective,other,FALSE,31265
foot_out_of_frame,Perspective,other,FALSE,26538
pov_hands,Perspective,other,FALSE,25142
selfie,Perspective,other,FALSE,21714
top-down_bottom-up,Perspective,other,FALSE,21348
head_out_of_frame,Perspective,other,FALSE,21309
back-to-back,Perspective,other,FALSE,18097
wide_shot,Perspective,other,FALSE,16487
hip_focus,Perspective,other,FALSE,15383
face-to-face,Perspective,other,FALSE,13972
pov_crotch,Perspective,other,TRUE,13441
over_shoulder,Perspective,other,FALSE,12563
cross-section,Perspective,other,FALSE,12385
side-by-side,Perspective,other,FALSE,10956
between_fingers,Perspective,other,FALSE,8888
perspective,Perspective,other,FALSE,8091
three_quarter_view,Perspective,other,FALSE,7335
v_over_eye,Perspective,other,FALSE,6721
viewfinder,Perspective,other,FALSE,6398
fisheye,Perspective,other,FALSE,5343
female_pov,Perspective,other,FALSE,4959
column_lineup,Perspective,other,FALSE,2691
projected_inset,Perspective,other,FALSE,2573
photo_inset,Perspective,other,FALSE,2566
inset,Perspective,other,FALSE,2515
round_image,Perspective,other,FALSE,2382
object_through_head,Perspective,other,FALSE,2344
inset_border,Perspective,other,FALSE,2344
head_only,Perspective,other,FALSE,2215
in_the_face,Perspective,other,FALSE,2171
back_focus,Perspective,other,FALSE,2121
pov_doorway,Perspective,other,FALSE,2071
split_screen,Perspective,other,FALSE,1862
from_outside,Perspective,other,FALSE,1535
through_medium,Perspective,other,FALSE,1527
very_wide_shot,Perspective,other,FALSE,1477
finger_frame,Perspective,other,FALSE,1454
vanishing_point,Perspective,other,FALSE,1285
facing_up,Perspective,other,FALSE,1245
cropped_head,Perspective,other,FALSE,1202
knees_out_of_frame,Perspective,other,FALSE,1149
behind-the-head_headphones,Perspective,other,FALSE,1103
facing_down,Perspective,other,FALSE,1087
facing_ahead,Perspective,other,FALSE,1058
isometric,Perspective,other,FALSE,1057
through_screen,Perspective,other,FALSE,1054
pov_across_table,Perspective,other,FALSE,1023
right-to-left_comic,Perspective,other,FALSE,825
front-to-back,Perspective,other,FALSE,705
pov_across_bed,Perspective,other,FALSE,689
three_quarter_profile,Perspective,other,FALSE,651
footwear_focus,Perspective,other,FALSE,564
outstretched_legs,Perspective,other,FALSE,531
facing_back,Perspective,other,FALSE,514
view_between_legs,Perspective,other,TRUE,490
sky_focus,Perspective,other,FALSE,477
taker_pov,Perspective,other,FALSE,459
pov_peephole,Perspective,other,TRUE,430
headshot,Perspective,other,FALSE,391
through_window,Perspective,other,FALSE,389
a-pose,Perspective,other,FALSE,360
mirror_image,Perspective,other,FALSE,289
under_shot,Perspective,other,FALSE,283
eyes_out_of_frame,Perspective,other,FALSE,282
side-view_mirror,Perspective,other,FALSE,279
pov_cheek_warming_(meme),Perspective,other,FALSE,271
looking_through_scope,Perspective,other,FALSE,268
looking_past_viewer,Perspective,other,FALSE,254
oval_image,Perspective,other,FALSE,237
mouth_focus,Perspective,other,FALSE,235
around_corner,Perspective,other,FALSE,228
pov_breasts,Perspective,other,TRUE,225
looking_inside,Perspective,other,FALSE,219
forced_perspective,Perspective,other,FALSE,218
eyewear_view,Perspective,other,FALSE,199
screen_zoom,Perspective,other,FALSE,186
from_inside,Perspective,other,FALSE,130
pov_legs,Perspective,other,FALSE,128
lap_pov,Perspective,other,FALSE,125
fixed-point_camera,Perspective,other,FALSE,100
